"Riga","Colonna","Colonna_Nome","Valore_Imputato"
2,1,"X0.0...2",93204.3906590844
3,1,"X0.0...2",67711.9982777709
5,1,"X0.0...2",99319.2081505177
7,1,"X0.0...2",85878.7493103147
8,1,"X0.0...2",84638.3713614837
9,1,"X0.0...2",71250.1965177106
10,1,"X0.0...2",81052.1319135111
11,1,"X0.0...2",87778.3973809468
12,1,"X0.0...2",60104.9281349145
13,1,"X0.0...2",68137.4489622328
14,1,"X0.0...2",78647.7354877935
15,1,"X0.0...2",91842.6286071791
18,1,"X0.0...2",62950.4458208153
19,1,"X0.0...2",92767.3167019421
20,1,"X0.0...2",93295.9292035398
21,1,"X0.0...2",86415.4258644513
22,1,"X0.0...2",87091.7660132866
23,1,"X0.0...2",54017.0933090581
24,1,"X0.0...2",80782.9079865913
25,1,"X0.0...2",47863.6798676326
26,1,"X0.0...2",92053.1802944305
27,1,"X0.0...2",71907.3461101449
29,1,"X0.0...2",73917.8924597594
9,3,"X623920.0",23346.2944733932
11,3,"X623920.0",23100.3634857191
12,3,"X623920.0",12745.9107788852
22,3,"X623920.0",23209.1267586578
25,3,"X623920.0",22160.7728357469
29,3,"X623920.0",23254.1587356395
3,5,"X49746.0",46016.9581106254
9,5,"X49746.0",30635.0947424536
12,5,"X49746.0",45977.1914674878
13,5,"X49746.0",32557.9705325063
21,5,"X49746.0",45878.3700344874
23,5,"X49746.0",41819.4686654179
25,5,"X49746.0",23321.985121231
29,5,"X49746.0",46023.3783821748
4,6,"X1218000.0",35851.7442263807
25,6,"X1218000.0",34301.1084062594
29,6,"X1218000.0",35773.1211109932
7,7,"X208000.0",19904.9361073844
12,7,"X208000.0",19851.9259629541
15,7,"X208000.0",18743.7956702133
17,7,"X208000.0",19936.0926623629
23,7,"X208000.0",19947.2260508351
25,7,"X208000.0",12493.5716775585
26,7,"X208000.0",19580.8056672254
27,7,"X208000.0",19454.0551415352
13,8,"X266390.0",23103.7906380419
21,8,"X266390.0",23485.4345986682
10,9,"X211890.0",22076.9961889944
21,9,"X211890.0",20947.5637890874
26,9,"X211890.0",22759.1458732142
29,9,"X211890.0",19687.2316371541
1,10,"X320890.0",10503.5663731731
9,10,"X320890.0",10531.5957990165
11,10,"X320890.0",11186.5118827637
12,10,"X320890.0",11191.6999201897
13,10,"X320890.0",10877.3716921402
15,10,"X320890.0",10918.9964735404
18,10,"X320890.0",11153.9295283142
21,10,"X320890.0",11175.4516833199
23,10,"X320890.0",11232.0291832722
25,10,"X320890.0",4030.25244011361
27,10,"X320890.0",11092.8511552126
29,10,"X320890.0",11042.9503033582
25,11,"X647120.0",45182.6343760419
1,12,"X98406.0",23772.5051770469
2,12,"X98406.0",23574.1364201037
3,12,"X98406.0",23267.9912822826
4,12,"X98406.0",22388.4202174992
8,12,"X98406.0",23931.9419537833
9,12,"X98406.0",21802.0206258011
10,12,"X98406.0",23879.0471593099
12,12,"X98406.0",23720.3769048124
13,12,"X98406.0",23747.3882621736
15,12,"X98406.0",23241.1213478618
17,12,"X98406.0",23556.6600472471
21,12,"X98406.0",23335.7515870671
23,12,"X98406.0",17147.5875631526
25,12,"X98406.0",15190.7242628908
28,12,"X98406.0",23521.6807954285
29,12,"X98406.0",21164.4795107038
8,13,"X671840.0",78971.8332334912
24,13,"X671840.0",76548.5627161223
28,13,"X671840.0",82052.4110324142
29,13,"X671840.0",80811.5609912473
9,14,"X171850.0",24644.2164672917
11,14,"X171850.0",25006.5258317559
12,14,"X171850.0",24693.6286575871
13,14,"X171850.0",18947.5248384231
21,14,"X171850.0",25056.3287168196
23,14,"X171850.0",25008.9392527445
5,19,"X181770.0",14500.6844084956
7,19,"X181770.0",14445.9196673023
9,19,"X181770.0",14173.243779921
12,19,"X181770.0",14360.6672613454
23,19,"X181770.0",14321.8454960169
25,19,"X181770.0",10116.1972719157
29,19,"X181770.0",14007.0024218041
12,20,"X825140.0",43575.9959298412
23,20,"X825140.0",43524.4837628083
25,20,"X825140.0",23545.9892621569
3,21,"X83304.0",20001.2123086251
8,21,"X83304.0",20161.384808125
9,21,"X83304.0",18306.2064952639
12,21,"X83304.0",20023.4502589023
13,21,"X83304.0",20072.2588165576
14,21,"X83304.0",19217.2046738266
17,21,"X83304.0",19754.6918175629
18,21,"X83304.0",7427.97200705939
22,21,"X83304.0",19363.0084714927
23,21,"X83304.0",12786.9609963166
24,21,"X83304.0",19414.6788918331
25,21,"X83304.0",5736.88801386931
26,21,"X83304.0",20053.9125961063
27,21,"X83304.0",19681.0528180694
28,21,"X83304.0",11264.4125284094
9,22,"X302730.0",10994.7345832595
13,22,"X302730.0",16150.9303904489
21,22,"X302730.0",16297.0099823744
23,22,"X302730.0",16244.7039012132
25,22,"X302730.0",2182.27466356802
29,22,"X302730.0",12076.5597926333
2,23,"X82118.0",37224.5718417057
3,23,"X82118.0",37411.4373978058
4,23,"X82118.0",35392.5512983374
5,23,"X82118.0",29617.4040304099
6,23,"X82118.0",37422.3087741964
8,23,"X82118.0",37266.7410002374
9,23,"X82118.0",36966.471535197
11,23,"X82118.0",37497.0804088874
12,23,"X82118.0",37309.574968669
13,23,"X82118.0",37309.2204447768
14,23,"X82118.0",37502.1319020841
15,23,"X82118.0",37383.4087993121
16,23,"X82118.0",25223.9866707145
19,23,"X82118.0",37008.0163182046
21,23,"X82118.0",37350.4498516215
22,23,"X82118.0",37224.1976009882
23,23,"X82118.0",37390.895449689
25,23,"X82118.0",36769.9183598098
27,23,"X82118.0",33305.211814557
28,23,"X82118.0",36274.3662945524
1,25,"X0.0...26",156075.343589699
3,25,"X0.0...26",165804.64839291
4,25,"X0.0...26",167642.810447259
6,25,"X0.0...26",167506.340437219
9,25,"X0.0...26",49632.9125666742
10,25,"X0.0...26",165665.266955632
11,25,"X0.0...26",162625.903702253
12,25,"X0.0...26",74262.0155241801
13,25,"X0.0...26",168661.889985247
14,25,"X0.0...26",168557.464124806
15,25,"X0.0...26",163528.57008962
16,25,"X0.0...26",97987.9082663157
17,25,"X0.0...26",167975.182986062
18,25,"X0.0...26",166349.768720451
20,25,"X0.0...26",159082.187010755
21,25,"X0.0...26",126707.147241933
22,25,"X0.0...26",166450.260159701
25,25,"X0.0...26",51553.65475587
27,25,"X0.0...26",165857.373460614
28,25,"X0.0...26",167997.123242559
29,25,"X0.0...26",102644.305286994
9,26,"X91684.0",18374.6950572624
13,26,"X91684.0",13929.6857456843
14,26,"X91684.0",20857.619605991
15,26,"X91684.0",20854.2308422965
18,26,"X91684.0",20273.0018517161
21,26,"X91684.0",20548.7827750816
25,26,"X91684.0",4183.05737441357
28,26,"X91684.0",20826.1573416367
29,26,"X91684.0",15473.4807219604
7,28,"X538160.0",37029.326512911
8,28,"X538160.0",35785.9065536286
9,28,"X538160.0",34578.7754120295
12,28,"X538160.0",36612.579232345
13,28,"X538160.0",36622.3978749307
25,28,"X538160.0",5897.21908887197
3,30,"X352020.0",20423.1271757281
7,30,"X352020.0",16635.0248046946
8,30,"X352020.0",20272.0119492603
9,30,"X352020.0",9878.23219862717
13,30,"X352020.0",20439.3915490735
18,30,"X352020.0",19688.9938575771
21,30,"X352020.0",20167.4987078048
23,30,"X352020.0",19872.2834881036
24,30,"X352020.0",20292.1546988775
25,30,"X352020.0",4014.0043769184
26,30,"X352020.0",20618.8042124261
28,30,"X352020.0",20386.4179439331
29,30,"X352020.0",8712.69851402022
10,31,"X0.0...32",26785.3284769307
11,31,"X0.0...32",26200.0030129806
13,31,"X0.0...32",18787.9737891901
22,31,"X0.0...32",26777.8729512038
23,31,"X0.0...32",17068.3699815495
25,31,"X0.0...32",14615.1438842199
6,32,"X0.0...33",26503.905949757
14,32,"X0.0...33",26420.2921136357
29,32,"X0.0...33",25065.9494596199
7,35,"X169150.0",26801.3243740196
9,35,"X169150.0",13902.7284232758
11,35,"X169150.0",26712.9974858849
12,35,"X169150.0",13423.3699505661
14,35,"X169150.0",26874.1573185959
23,35,"X169150.0",20700.7978570014
25,35,"X169150.0",7914.37318436341
29,35,"X169150.0",16247.4856090171
1,36,"X228510.0",15470.4392202624
9,36,"X228510.0",13895.4543009033
11,36,"X228510.0",10667.4942043742
12,36,"X228510.0",8760.00497713123
14,36,"X228510.0",15436.7539297964
20,36,"X228510.0",15268.0516354468
21,36,"X228510.0",8907.30126146964
23,36,"X228510.0",7121.01363580867
25,36,"X228510.0",1040.85337413368
27,36,"X228510.0",15697.8584360372
29,36,"X228510.0",11766.6083918348
8,37,"X218710.0",29162.0164345714
9,37,"X218710.0",28783.7650165577
12,37,"X218710.0",28423.121475376
25,37,"X218710.0",18820.4823792301
11,38,"X150270.0",18567.6511583275
25,38,"X150270.0",18591.7494551154
4,39,"X437060.0",24689.2525068437
8,39,"X437060.0",23370.3563388914
10,39,"X437060.0",24749.644604148
11,39,"X437060.0",24523.8222209884
13,39,"X437060.0",21877.9721026925
17,39,"X437060.0",24538.8368901
25,39,"X437060.0",12672.4515245584
29,39,"X437060.0",24501.4702910661
12,41,"X74042.0",40966.1006512204
23,41,"X74042.0",39311.7750157841
25,41,"X74042.0",35995.5058569498
29,41,"X74042.0",41053.725655082
13,43,"X882940.0",49420.1344126174
25,43,"X882940.0",30305.0240379833
1,44,"X206670.0",44063.7037026993
9,44,"X206670.0",38081.7625953404
11,44,"X206670.0",42554.0616302117
12,44,"X206670.0",30509.7646741131
13,44,"X206670.0",43575.4666097357
14,44,"X206670.0",42741.846602231
18,44,"X206670.0",43672.2681126448
20,44,"X206670.0",44129.7548271709
22,44,"X206670.0",44436.0741917417
23,44,"X206670.0",43895.7294320118
24,44,"X206670.0",44127.8644689246
25,44,"X206670.0",35215.3395896087
26,44,"X206670.0",44097.436574066
28,44,"X206670.0",44099.340975014
4,47,"X0.0...48",49439.0903405631
6,47,"X0.0...48",40635.3411071811
8,47,"X0.0...48",51428.1174537105
15,47,"X0.0...48",44939.1610626749
18,47,"X0.0...48",50680.9167331549
1,48,"X0.0...49",20205.7314470303
5,48,"X0.0...49",20522.3905087758
6,48,"X0.0...49",20844.0101644588
7,48,"X0.0...49",20755.9557647032
8,48,"X0.0...49",13384.4160516929
9,48,"X0.0...49",20396.3301829938
11,48,"X0.0...49",18448.1254109573
12,48,"X0.0...49",13395.1543710843
16,48,"X0.0...49",20586.0289703238
21,48,"X0.0...49",20727.4686022014
23,48,"X0.0...49",10731.1391113668
25,48,"X0.0...49",4569.72296513737
27,48,"X0.0...49",20707.5924542099
29,48,"X0.0...49",10050.8444987577
10,51,"X564300.0",26125.8790031616
25,51,"X564300.0",21724.095663487
4,52,"X245980.0",77859.6127307242
9,52,"X245980.0",76350.9957553167
10,52,"X245980.0",78472.9871079453
13,52,"X245980.0",68884.6670469861
21,52,"X245980.0",75468.2778517262
25,52,"X245980.0",37489.3094085294
27,52,"X245980.0",78445.1810369973
2,53,"X631180.0",118366.476923912
3,53,"X631180.0",97948.4523864537
7,53,"X631180.0",111940.773964856
8,53,"X631180.0",120227.40325097
15,53,"X631180.0",115174.21037105
16,53,"X631180.0",117790.79222767
18,53,"X631180.0",119899.467644956
21,53,"X631180.0",120320.002172922
23,53,"X631180.0",121376.937552022
24,53,"X631180.0",120738.122089846
25,53,"X631180.0",108979.506832158
27,53,"X631180.0",121396.98544736
